"DisplayName","SamAccountName","Enabled","LastLogonDate","PasswordLastSet","Department","Title","Created"
,"Administrator","True","4/28/2026 8:23:23 PM","4/28/2026 9:32:23 PM",,,"4/28/2026 8:20:07 PM"
,"Guest","False",,,,,"4/28/2026 8:20:07 PM"
,"krbtgt","False",,"4/28/2026 8:20:53 PM",,,"4/28/2026 8:20:53 PM"
"test user","testuser","True",,"4/28/2026 8:39:34 PM",,,"4/28/2026 8:39:34 PM"
,"jcarter","True",,"5/3/2026 6:59:53 PM","Engineering","Software Engineer","5/3/2026 6:59:53 PM"
,"mlopez","True",,"5/3/2026 6:59:54 PM","Engineering","DevOps Engineer","5/3/2026 6:59:54 PM"
,"dkim","True",,"5/3/2026 6:59:54 PM","Finance","Financial Analyst","5/3/2026 6:59:54 PM"
,"sjohnson","False",,"5/3/2026 6:59:54 PM","Finance","Accounts Manager","5/3/2026 6:59:54 PM"
,"rchen","False",,"5/3/2026 6:59:54 PM","Finance","Senior Accountant","5/3/2026 6:59:54 PM"
,"amorris","True",,"5/3/2026 6:59:54 PM","HR","HR Generalist","5/3/2026 6:59:54 PM"
,"kbrown","True",,"5/3/2026 6:59:54 PM","HR","HR Manager","5/3/2026 6:59:54 PM"
,"lturner","False",,"5/3/2026 6:59:54 PM","HR","Recruiter","5/3/2026 6:59:54 PM"
,"mdavis","True",,"5/3/2026 6:59:54 PM","IT","IAM Engineer","5/3/2026 6:59:54 PM"
,"ppatel","True",,"5/3/2026 6:59:54 PM","IT","Systems Administrator","5/3/2026 6:59:54 PM"
,"tscott","False",,"5/3/2026 6:59:54 PM","IT","Help Desk Technician","5/3/2026 6:59:54 PM"
,"nward","True",,"5/3/2026 6:59:54 PM","Marketing","Marketing Specialist","5/3/2026 6:59:54 PM"
,"bhughes","True",,"5/3/2026 6:59:54 PM","Marketing","Content Strategist","5/3/2026 6:59:54 PM"
,"sreed","False",,"5/3/2026 6:59:54 PM","Marketing","Brand Manager","5/3/2026 6:59:54 PM"
,"cmendez","False",,"5/3/2026 6:59:54 PM","Engineering","QA Engineer","5/3/2026 6:59:54 PM"
